CO_EXPEDIENTE,NU_PROCESSO,NU_ACAO,NU_GRUPO_ASSUNTO,NU_ASSUNTO
07.000.00023/2017,00108091320164036000,54,43,"[63, 531, 539, 927]"
07.000.00051/2018,00258721820175240005,54,49,"[20, 409, 531, 585]"
07.000.00069/2018,00256937720175240072,9,58,"[63, 506, 524, 531, 716, 929]"
07.000.00070/2018,00258358120175240072,54,75,"[63, 508, 531]"
07.000.00072/2018,00255799420175240022,9,54,"[63, 524, 527, 531]"
07.000.00073/2018,00255720520175240022,9,998,"[63, 64, 82, 86, 531, 535]"
07.000.00074/2018,00256168120175240003,54,64,"[63, 409, 531]"
07.000.00075/2018,00256573920175240006,54,50,"[63, 409, 586]"
07.000.00078/2017,00248938720165240006,54,47,"[50, 531, 933]"
07.000.00090/2018,00257231920175240006,54,46,"[63, 531, 929]"
07.000.00101/2017,00249588220165240006,54,998,"[50, 531, 617, 716]"
07.000.00104/2017,00257871820165240021,9,75,"[63, 86, 508, 524, 531, 716]"
07.000.00109/2017,00240127220175240072,54,47,"[50, 138, 176, 531]"
07.000.00119/2017,00255889020165240022,54,47,"[50, 138, 176]"
07.000.00126/2017,00259815920165240072,54,47,"[138, 175, 176, 531]"
07.000.00134/2018,00258331420175240072,54,998,"[50, 531, 617]"
07.000.00135/2018,00256219020175240072,54,75,"[20, 340, 508, 531]"
07.000.00167/2017,00255296520165240002,54,64,"[63, 409, 531]"
07.000.00170/2017,00254377820165240005,54,47,"[50, 138, 176, 531]"
07.000.00184/2017,00253424820165240005,54,50,"[50, 63, 124, 340, 444, 586]"
07.000.00199/2017,00258847520165240002,54,75,"[63, 86, 340, 508]"
07.000.00206/2017,00240161320175240007,54,47,"[50, 138, 175, 176]"
07.000.00223/2017,00258604420165240003,54,48,"[50, 175, 531, 540]"
07.000.00242/2017,00240291820175240005,203,79,"[50, 63, 140, 340]"
07.000.00243/2018,00001253420184036202,47,998,"[83, 414, 490, 531]"
07.000.00252/2018,00255630620175240002,54,54,"[20, 527]"
07.000.00255/2018,00252157320175240006,209,67,"[63, 524, 531, 705]"
07.000.00264/2017,00257687220165240001,54,61,"[20, 24, 121, 531, 716]"
07.000.00265/2017,00251363120165240006,54,62,"[20, 121, 507, 531, 716]"
07.000.00276/2017,00241015420175240021,54,47,"[50, 138, 176, 531]"
